DeviceType,FieldName,FieldSourceType,StatusKey,WebhookKey,FieldDataType,Description,IsBinary,BinarySensorDeviceClass,OnValue,OffValue,Icon,SensorDeviceClass,EntityCategory,StateClass,UnitOfMeasurement,DisplayName,DisplayNameJa
Humidifier,childLock,Status,childLock,,Boolean,"determines if a Humidifier's safety lock is on or not",false,,,,mdi:human-child,,,,,,
Humidifier,sound,Status,sound,,Boolean,"determines if a Humidifier is muted or not",false,,,,mdi:volume-equal,,,,,,
Humidifier,lackWater,Status,lackWater,,Boolean,"determines if the water tank is empty or not",false,,,,mdi:water,,,,,,
Humidifier,deviceId,Status,deviceId,,String,"the MAC address of the device. device ID ",false,,,,mdi:information,,diagnostic,,,,
Humidifier,deviceType,Status,deviceType,,String,"the type of the device",false,,,,mdi:information,,diagnostic,,,,
Humidifier,hubDeviceId,Status,hubDeviceId,,String,"device's parent Hub ID. 000000000000 when the device itself is a Hub or it is connected through Wi-Fi.",false,,,,mdi:information,,diagnostic,,,,
IndoorCam,detectionState,Webhook,,detectionState,String,"the detection state of the device, `DETECTED` stands for motion is detected",true,Motion,DETECTED,NOT_DETECTED,,,,,,,
IndoorCam,deviceId,Webhook,,deviceMac,String,"the MAC address of the device. device ID ",false,,,,mdi:information,,diagnostic,,,,
IndoorCam,deviceType,Webhook,,deviceType,String,"the type of the device",false,,,,mdi:information,,diagnostic,,,,
IndoorCam,timeOfSample,Webhook,,timeOfSample,String,"the time stamp when the event is sent",false,,,,,Timestamp,,,,,
PanTiltCam,detectionState,Webhook,,detectionState,String,"the detection state of the device, `DETECTED` stands for motion is detected",true,Motion,DETECTED,NOT_DETECTED,,,,,,,
PanTiltCam,deviceId,Webhook,,deviceMac,String,"the MAC address of the device. device ID ",false,,,,mdi:information,,diagnostic,,,,
PanTiltCam,deviceType,Webhook,,deviceType,String,"the type of the device",false,,,,mdi:information,,diagnostic,,,,
PanTiltCam,timeOfSample,Webhook,,timeOfSample,String,"the time stamp when the event is sent",false,,,,,Timestamp,,,,,
BlindTilt,version,Status,version,,Integer,"the firmware version of the device",false,,,,mdi:information,,diagnostic,,,,
BlindTilt,calibrate,Status,calibrate,,Boolean,"determines if the open and the closed positions have been properly calibrated or not",false,,,,mdi:check-circle,,,,,,
BlindTilt,group,Status,group,,Boolean,"determines if a Blind Tilt device is paired with or grouped with one or more devices of the same type or not",false,,,,mdi:group,,,,,,
BlindTilt,moving,Status,moving,,Boolean,"determines if the device is moving or not",true,Moving,true,false,,,,,,,
BlindTilt,direction,Status,direction,,String,"the opening direction of a Blind Tilt device",false,,,,mdi:swap-vertical,,,,,,
BlindTilt,slidePosition,Status,slidePosition,,Integer,"the current position, 0-100",false,,,,mdi:blinds-horizontal-closed,,,measurement,%,,
BlindTilt,deviceId,Status,deviceId,,String,"the MAC address of the device. device ID ",false,,,,mdi:information,,diagnostic,,,,
BlindTilt,deviceType,Status,deviceType,,String,"the type of the device",false,,,,mdi:information,,diagnostic,,,,
BlindTilt,hubDeviceId,Status,hubDeviceId,,String,"device's parent Hub ID. 000000000000 when the device itself is a Hub or it is connected through Wi-Fi.",false,,,,mdi:information,,diagnostic,,,,
BatteryCirculatorFan,deviceName,Status,deviceName,,String,"device name",false,,,,mdi:information,,,,,,
BatteryCirculatorFan,mode,Both,mode,mode,String,"fan mode. direct mode: `direct`; natural mode: `natural`; sleep mode: `sleep`; ultra quiet mode: `baby`",false,,,,,,,,,,
BatteryCirculatorFan,version,Both,version,version,String,"the current firmware version, e.g. V4.2",false,,,,mdi:information,,diagnostic,,,,
BatteryCirculatorFan,battery,Both,battery,battery,Integer,"the current battery level",false,,,,,Battery,,measurement,%,,
BatteryCirculatorFan,power,Both,power,powerState,String,"ON/OFF state",true,Power,on,off,,,,,,,
BatteryCirculatorFan,nightStatus,Both,nightStatus,nightStatus,Integer,"set nightlight status. turn off: off; mode 1: 1; mode 2: 2",false,,,,,,,,,,
BatteryCirculatorFan,oscillation,Both,oscillation,oscillation,String,"set horizontal oscillation. turn on: on; turn off: off",false,,,,,,,,,,
BatteryCirculatorFan,verticalOscillation,Both,verticalOscillation,verticalOscillation,String,"set vertical oscillation. turn on: on; turn off: off",false,,,,,,,,,,
BatteryCirculatorFan,chargingStatus,Both,chargingStatus,chargingStatus,String,"battery charge status. charging or uncharged",false,,,,,,,,,,
BatteryCirculatorFan,fanSpeed,Both,fanSpeed,fanSpeed,Integer,"fan speed. 1~100",false,,,,,,,,,,
BatteryCirculatorFan,deviceId,Both,deviceId,deviceMac,String,"the MAC address of the device",false,,,,mdi:information,,diagnostic,,,,
BatteryCirculatorFan,deviceType,Both,deviceType,deviceType,String,"device type. Battery Circulator Fan",false,,,,mdi:information,,diagnostic,,,,
BatteryCirculatorFan,timeOfSample,Webhook,,timeOfSample,String,"the time stamp when the event is sent",false,,,,,Timestamp,,,,,
